title,category,sourceFile,sourceRow,id,issues
"Buffalo Chicken Wontons","Appetizers","appetizers_full_export (1).csv",7,"buffalo-chicken-wontons-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"
"Citrus Shrimp Lettuce Cups","Other","archived_recipes (1).csv",10,"citrus-shrimp-lettuce-cups-dd89a2b8","MISSING_INSTRUCTIONS_PLACEHOLDER_ADDED"
"Blueberry Hibiscus Moscow Mule","Drinks","drinks_recipes (1).csv",3,"blueberry-hibiscus-moscow-mule-eb6f8f6a","MISSING_INSTRUCTIONS_PLACEHOLDER_ADDED"
"Chocolate Martini","Drinks","drinks_recipes (1).csv",5,"chocolate-martini-03ea7874","MISSING_INSTRUCTIONS_PLACEHOLDER_ADDED"
"Waffles","Breakfast","meals_breakfast_recipes (1).csv",4,"waffles-ea71217d","MISSING_INSTRUCTIONS_PLACEHOLDER_ADDED"
"Lunch/Dinner","Breakfast","meals_breakfast_recipes (1).csv",5,"lunch-dinner-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"
"Crockpot","Other","remaining_recipe_sections (1).csv",8,"crockpot-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"
"Name","Other","remaining_recipe_sections (1).csv",31,"name-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"
"Name","Other","remaining_recipe_sections (1).csv",32,"name-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"
"Other","Other","remaining_recipe_sections (1).csv",33,"other-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"
"Italian Dressing","Other","remaining_recipe_sections (1).csv",36,"italian-dressing-d2aee6d7","MISSING_INSTRUCTIONS_PLACEHOLDER_ADDED"
"Taco Seasoning","Other","remaining_recipe_sections (1).csv",41,"taco-seasoning-4190d40c","MISSING_INSTRUCTIONS_PLACEHOLDER_ADDED"
"Tomato Free Pasta Sauce","Other","remaining_recipe_sections (1).csv",43,"tomato-free-pasta-sauce-3eb41622","MISSING_INSTRUCTIONS_NO_INGREDIENTS"